Category,Title
Archeology (arts and humanities),Touching from a Distance: Alienation  Abjection  Estrangement and Archaeology
Archeology (arts and humanities),Comments on transition to farming in Northern Europe: A Norwegian perspective
Archeology (arts and humanities),Late Neolithic and bronze age developments on the periphery of southern Scandinavia
Archeology (arts and humanities),Saamis (Lapps)  Finns and Scandinavians in history and prehistory. Ethnic origins and ethnic processes in Fenno‐Scandinavia
Archeology (arts and humanities),Anthropocentricity and the Archaeological Record: Towards a Sociology of Things
Archeology (arts and humanities),A study of environment and early man in the Southern Norwegian highlands
Archeology (arts and humanities),Feasts and females: Gender ideology and political meals in the Andes
Archeology (arts and humanities),Tradition and diffusion in West‐Norwegian rock art. Mjeltehaugen revisited
Archeology (arts and humanities),Comments on Sami Viking age pastoralism—or ‘the fur trade paradigm’ reconsidered
Archeology (arts and humanities),Comments on archaeological material and ethnic identification
Archeology (arts and humanities),Masculinities and diet: An analysis of skeletal material from the dominican priory in Medieval Västerås  Sweden
Archeology (arts and humanities),Archaeology with Its Back to the World
Archeology (arts and humanities),Reply to the ‘comments on computers in archaeology’
Archeology (arts and humanities),Tiffany Jenkins:<i>Contesting Human Remains in Museum Collections: The Crisis of Cultural Authority</i>
Archeology (arts and humanities),Pálstóftir: A Viking Age Shieling in Iceland
Archeology (arts and humanities),Creativity in the Bronze Age. Understanding Innovation in Pottery  Textile  and Metalwork Production
Archeology (arts and humanities),Actor Networks  Social Selves  and Expressive Possession
Archeology (arts and humanities),Comments on Jörn Staecker: The Concepts of<i>imitatio</i>and<i>translatio</i>: Perceptions of a Viking‐Age Past.
Archeology (arts and humanities),Early farming north of the Arctic Circle∗
Archeology (arts and humanities),Viking-Age transformations: Trade  craft and resources in Western Scandinavia
Archeology (arts and humanities),Comments on early agriculture in Scandinavia
Archeology (arts and humanities),The role of technology in V. Gordon Childe's Archaeology
Archeology (arts and humanities),Reply to the comments on typological and chronological problems
Archeology (arts and humanities),Indigenous Time  Colonial History: Sami Conceptions of Time and Ancestry and the Role of Relics in Cultural Reproduction
Archeology (arts and humanities),Reply to comments on trade  towns and states: A reconsideration of early medieval economics
Archeology (arts and humanities),Early farming in hordaland  western Norway. Problems and approaches in archaeology and pollen analysis
Archeology (arts and humanities),Remodelling the neolithic in Southern Norway: Another attack on a traditional problem
Archeology (arts and humanities),Always Ritual  Symbolic and Religious? An Essay on the Alta Rock Art and the Archaeological Quest for Meaning
Archeology (arts and humanities),Reply to comments on Saamis  Finns and Scandinavians in history and prehistory
Archeology (arts and humanities),Borg in Lofoten — An inter‐Scandinavian research project
Archeology (arts and humanities),The somatization of archaeology: Institutions  discourses  corporeality
Archeology (arts and humanities),Comments on Kristian Kristiansen and Thomas B. Larsson (2005):<i>The Rise of Bronze Age Society. Travels  Transmissions and Transformations</i>. Cambridge University Press  Cambridge
Archeology (arts and humanities),Missing Boats – or Lacking Thoughts?
Archeology (arts and humanities),Norwegian Archaeological Review 1968–2018: Looking Ahead
Archeology (arts and humanities),'Figure it out!' Psychological Perspectives on Perception of Migration Period Animal Art
Archeology (arts and humanities),Bibliography of<i>Norwegian archaeological review </i>volumes 1–5  1968–1972
Archeology (arts and humanities),Reply to the comments on<i>prehistoric sites in the lærdal basin</i>
Archeology (arts and humanities),Engaging with Sea and Seals: Environmental and Human-Animal Relations on the Northern Coast of the Early Modern Gulf of Bothnia
Archeology (arts and humanities),The Blind Spots of the Colonial Legacies of Archaeological Theory and Practice
Archeology (arts and humanities),The Tip of the Iceberg: The Material of Skriðuklaustur Monastery and Hospital
Archeology (arts and humanities),Inger Storli: Hålogaland før Rikssamlingen: Politiske Prosesser i Perioden 200–900 e. Kr. (Hálogaland before State Formation: Political Processes in the Period 200–900<scp>ad</scp>).
Archeology (arts and humanities),Archaeology—as if people mattered. A discussion of humanistic archaeology
Archeology (arts and humanities),Reply to comments on archaeological material and ethnic identification
Archeology (arts and humanities),Here and Now: Towards an Experiential Archaeological Fieldwork
Archeology (arts and humanities),Architecture  Society  and Ritual in Viking Age Scandinavia. Doors  Dwellings  and Domestic Space
Archeology (arts and humanities),Mudbrick as a bearer of agricultural information: An archaeopalynological study
Archeology (arts and humanities),Medieval Desire to Consume and Its Powerhouses
