Category,Title
Accounting,Advanced management accounting: An organisational emphasis
Accounting,Overseas bankers in the UK and their use of information for making lending decisions: Changes from 1985
Accounting,Strategic capital investment decision-making: A role for emergent analysis tools?
Accounting,The genre of banking financial product information: The characters  the setting  the plot and the story
Accounting,Earnings management: a three-decade analysis and future prospects
Accounting,The roles and interplay of enforcers and auditors in the context of accounting fraud: a review of the accounting literature
Accounting,Governance and control of sharing economy platforms: Hosting on Airbnb
Accounting,Journal of business finance &amp; accounting vol. 17 no. 5 Winter 1990
Accounting,Expert systems for business
Accounting,Inquiry and accounting: Alternate methods and research perspectives
Accounting,Flickering at the margin of existence: The Association of University Teachers of Accounting  1960–1971
Accounting,Volatility and dark trading: Evidence from the Covid-19 pandemic
Accounting,Tracing the American concept of stewardship to english antecedents
Accounting,Early retirement and wealth transfers in universities—A reply
Accounting,Integrating sustainability performance measurement into logistics and supply networks: A multi-methodological approach
Accounting,Insider-trading  discretionary accruals and information asymmetry
Accounting,Service organization productivity management
Accounting,A real effect across time: disclosure quality  cost of capital and profitability
Accounting,Some obstacles to global financial reporting comparability and convergence at a high level of quality
Accounting,Financial and treasury management
Accounting,Expropriation of minority shareholders and payout policy
Accounting,Contemporary issues in banking
Accounting,PAPER PROPHETS: AN AUTOCRITIQUE
Accounting,Corporate lobbying in the UK: an analysis of attitudes towards the ASB's 1995 deferred taxation proposals
Accounting,What drives individual investors in the bear market?
Accounting,The pattern of investment surrounding CEO retirements: UK evidence
Accounting,Occupational role dimensions: The profession of management accounting
Accounting,Experienced Auditors' Information Acquisition: A Research Note Utilising Questioning Methodology
Accounting,The Capital Market Consequence of Long-term Abnormal Audit Fees: Evidence from Stock Price Crash Risk
Accounting,Chinese Government Accounting: Historical Perspective And Current Practice
Accounting,Liquidity  informational efficiency and firm default risk: a systematic literature review
Accounting,UK AUDITORS' PERCEPTIONS OF INHERENT RISK
Accounting,The impact of religiosity on earnings quality: International evidence from the banking sector
Accounting,GUIDE TO INFORMATION SOURCES IN ACCOUNTING AND FINANCE
Accounting,Relocating accounting and business ethics: reflections on a business ethics retreat in Scotland's National Park
Accounting,The collapse of the FTX exchange: The end of cryptocurrency's age of innocence
Accounting,BAR Manuscript Prize 1991
Accounting,The geography of environmental regulation: Plant-level emissions data
Accounting,Issues concerning web-based business reporting: an analysis of the views of interested parties
Accounting,A closer look at the relationship between firm-specific return variation and stock returns
Accounting,Accounting and finance vol. 30 no. 1 May 1990
Accounting,UK charity accounting: An exercise in widening stakeholder engagement
Accounting,Accounting and business research number 72 Autumn 1988
Accounting,Good for business: towards a management control research agenda relating to the employment of workers with intellectual disability
Accounting,THE IASC COMPARABILITY PROJECT AND CURRENT FINANCIAL REPORTING REALITY: AN EMPIRICAL STUDY OF REPORTING IN EUROPE
Accounting,Matching And Incorrigibility—reconsideration And Proposals
Accounting,Over half a decade into the adoption of IFRS 9: a systematic literature review
Accounting,The link and spillovers between clean energy and fossil fuels market: a systematic literature review
Accounting,Hadfields Ltd: its annual general meetings 1903–1939 and their relevance for contemporary corporate social reporting
Accounting,From apathy to activism: Shareholder dissent on director's pay proposals and board effectiveness
Accounting,Proceedings of the 6th international conference on accounting education
Accounting,Managing the performance of arts organisations: Pursuing heterogeneous objectives in an era of austerity
Accounting,Does CEO extraversion pay off when in need? Evidence from the global financial crisis
Accounting,What have we learned from SFAS 123r and IFRS 2? A review of existing evidence and future research suggestions
Accounting,Towards a conceptual framework on the categorization of stereotypical perceptions in accounting
Accounting,Boundary-work in management accounting: The case of hybrid professionalism
Accounting,Cost analysis for pricing: Exploring the gap between theory and practice
Accounting,Bringing the environment into bank lending: implications for environmental reporting
Accounting,Testing for control system interdependence with structural equation modeling: Conceptual developments and evidence on the levers of control framework
Accounting,Review of Relationships Between Multinational Enterprises and Banks by J. Hollands; Introducing Corporate Planning: Guide to Strategic Management by D. E. Hussey; Public Sector Accounting by R. Jones &amp; M. Pendlebury; Business  Accountancy and the Environment: A Policy and Research Agenda by R. Macve &amp; A. Carey and Anatomy of a Fraud: Inside the Finances of the PTL Ministries by G. Tidwell
Accounting,The market response to mandatory disclosure of payments to foreign governments
Accounting,Directors' remuneration: A comparison of Italian and UK non-financial listed firms' disclosure
Accounting,Drivers of innovation capital disclosure in intellectual capital statements: Evidence from Europe
Accounting,Special Interest Groups
Accounting,Financial Controls And Schools: Accounting In 'Public' And 'private' Spheres
Accounting,Use of specialists on audit engagements: A research synthesis and directions for future research
Accounting,Audit firm merger and the strategic response by large audit firms
Accounting,Government budgeting in developing countries
Accounting,Costing: An introduction
Accounting,Accounting &amp; control for governmental and other non-business organisations
Accounting,Accounting and business research number 73 winter 1988
Accounting,Real earnings management and idiosyncratic return volatility
Accounting,Discourses of control  managing the boundaries
Accounting,The impact of hedge fund activism on audit pricing
Accounting,Taxes and firm size: Political cost or political power?
Accounting,Assurance statement practice in environmental  social and sustainability reporting: a critical evaluation
Accounting,The role of political elites in income tax system design and tax fairness
Accounting,The impact of shareholders and creditors rights on IPO performance: An international study
Accounting,Disciplining building societies by accounting-based regulation  circa 1960
Accounting,Financial handbook for sales and marketing managers
Accounting,Fair value vs conservatism? Aspects of the history of accounting  auditing  business and finance from ancient Mesopotamia to modern China
Accounting,The Case for Deprival Value
Accounting,Towards a conceptual model of whistle-blowing intentions among external auditors
Accounting,Change in organisations: A case study of the use of accounting information in the NHS
Accounting,Contents of volume 23 number 1  March 1991
Accounting,What are recommended accounting textbooks teaching students about corporate stakeholders?
Accounting,New evidence on the accounting — Marketing interface
Accounting,Familiarity  home bias and investors’ reactions to 20-F reconciliation gains and losses and perceptions of the quality of accounting principles
Accounting,Event studies based on volatility of returns and trading volume: A review
Accounting,Financial accountability &amp; management vol. 6 no. 2 Summer 1990
Accounting,Publishing characteristics  geographic dispersion and research traditions of recent international accounting education research
Accounting,Micro-processes of justification and critique in a water sustainability controversy: Examining the establishment of moral legitimacy through accounting
Accounting,Exporting corporate social responsibility: Evidence from foreign bank entry
Accounting,BAA ANNUAL CONFERENCE 2001
Accounting,FUNDAMENTAL INFORMATION ANALYSIS: AN EXTENSION AND UK EVIDENCE
Accounting,Why does affect matter in accounting: a review of experimental studies on the effect of affect
Accounting,Accounting and business research number 68 Autumn 1987
Accounting,Board characteristics and negative disclosure tone
Accounting,The market impact of directors' trades: relationship to various measures of a firm's information environment
Accounting,The nested and spillover effects of institutional environment on reporting standard convergence: a multilevel approach and an agglomeration economy perspective
Accounting,Why Muddy the Water? Short selling and the disclosure of proprietary information
Accounting,Inflation: the achilles heel of corporation tax. Certified research report: No. 9
Accounting,Accounting and business research number 78 Spring 1990
Accounting,Trade credit supply and financial distress outcomes: evidence from Australian voluntary administrations
Accounting,Foreign exchange risk management: a case in the mining industry
Accounting,An integrated approach for green design: Life-cycle  fuzzy AHP and environmental management accounting
Accounting,An examination of international accounting standard-setting due process and the implications for legitimacy
Accounting,Organisational change  outsourcing and the impact on management accounting
Accounting,Discounting in financial accounting &amp; reporting: Issues in the literature
Accounting,Information technology and the new accounting
Accounting,Financial Accounting: An International Introduction
Accounting,Industrial robots and firm innovation: big data evidence from China
Accounting,Finanzierungen: Recommendations of a working party of the Schmalenbach society and the German society for business economics
Accounting,Third Asian Pacific Interdisciplinary Research in Accounting Conference
Accounting,Environmental and financial performance in the European manufacturing sector: An analysis of extreme tail dependency
Accounting,Hybrid board governance: Exploring the challenges in implementing social impact measurements
Accounting,Automation and management control in dynamic environments: Managing organisational flexibility and energy efficiency in service sectors
Accounting,MICHAEL BROMWICH: 1999 BAA DISTINGUISHED ACADEMIC
Accounting,The development and intellectual structure of continuous auditing research<sup>✩</sup>
Accounting,The going-concern qualification debate: Some UK evidence
Accounting,Large EU banks’ capital and liquidity: Relationship and impact on credit default swap spreads
Accounting,The role of board independence in mitigating agency problem II in Australian family firms
Accounting,Volume contents and author index
Accounting,The ethics of climate change and the green new deal: a qualitative study
Accounting,Indecent Disclosure: Gilding the Corporate Lily
Accounting,Emeritus Professor John Perrin (1930–2004)
Accounting,Accounting for intangibles: a critical review
Accounting,A Social Critique of Corporate Reporting: A Semiotic Analysis of Corporate Financial and Environmental Reporting
Accounting,The role of quantitative models in management accounting education
Accounting,British research in accounting and finance (2001–2007): The 2008 research assessment exercise
Accounting,Functional fixation: Experimental evidence on the presentation of financial information through different digital formats
Accounting,Management accounting—The challenge of technological innovation vol. 1
Accounting,Management Accountant's Guide to Fraud Discovery and Control
Accounting,Curbing myopic R&amp;D behavior: How private meetings serve as a channel
Accounting,Auditor practices and auditee responses to corporate governance audit regulation in Nigeria
Accounting,Gender diversity  board independence  environmental committee and greenhouse gas disclosure
Accounting,CASES IN MANAGEMENT ACCOUNTING: CURRENT PRACTICES IN EUROPEAN COMPANIES
Accounting,Determinants of international CPA firm orientation among accounting students
Accounting,Accounting and business research number 79 Summer 1990
Accounting,A note on a test of students' grasp of truth and fairness before and after encountering funds statements
Accounting,‘Towards a mapping of the student world’: the identification of variation in students' conceptions of  and motivations to learn  introductory accounting
Accounting,The secret life of UK trade credit supply: Setting a new research agenda
Accounting,EMBAs perceived usefulness of academic research for student learning and use in practice
Accounting,Multi-currency budgeting by multinational companies
Accounting,Management accounting and accountability in a new reality of everyday life
Accounting,Financial accountability and management vol. 7 no. 2 Summer 1991
Accounting,Performance measures  benchmarks and targets in executive remuneration contracts of UK firms
Accounting,How do mentoring rewards influence experienced auditors?
Accounting,Corporate Financial Reporting. Theory and Practice
Accounting,Journal of business finance &amp; accounting vol. 15 no.4 Winter 1988
Accounting,Financial reporting 1987–1988: A survey of UK reporting practice
Accounting,<i>Prospect Theory</i> predictions in the field: Risk seekers in settings of weak accounting controls
Accounting,Networks of accounting research: A citation-based structural and network analysis
Accounting,Accounting journals and the ABS quality ratings
Accounting,Smart defaults: Determining the number of default funds in a pension scheme
Accounting,Modelling audit risk
Accounting,Social trust and the choices to provide audited financial statements by private firms in emerging markets
Accounting,Do minority acquisitions transfer better corporate governance practices? An analysis of UK's cross-border minority investments
