Category,Title
Oral Surgery,Quality of life and clinical factors associated with the perception of difficulty of hygienization in patients with implant‐supported rehabilitation
Oral Surgery,EAO‐380/PO‐SU‐017 | All‐on‐4/5/6 maxillary implant rehabilitation with immediate vs. Delayed loading: long‐term results
Oral Surgery,Study on the relationship between microbial composition around implants and periodontal status
Oral Surgery,EAO‐346 / OC‐PIB‐001 | Patient‐reported outcomes after surgical treatment of peri‐implantitis: a multi‐center trial
Oral Surgery,Bone structural modifications around implants inserted with bone grafting procedures. a randomized controlled trial with 3 years of follow up
Oral Surgery,The use of autogenous particulate dentin graft materials at insufficient bone areas – case series
Oral Surgery,The tentpole method for severe bone loss
Oral Surgery,EAO‐418 / OC‐CI‐005 | Innovative fully digital workflow for prosthetically driven implants and digital cross mounting
Oral Surgery,Optical phenomenon of peri‐implant soft tissue. Part I. Spectrophotometric assessment of natural tooth gingiva and peri‐implant mucosa
Oral Surgery,Conometric retention and dynamic loading over time
Oral Surgery,Esthetic anterior implant therapy by computer guided surgery and transgingival GBR
Oral Surgery,A 10‐year retrospective study on cemented versus screw retained implant abutment connection
Oral Surgery,The effect of polishing protocols on the surface roughness of zirconium oxide
Oral Surgery,Clinical performance of a fixed‐removable CAD CAM implant bar overdenture on 4 implants‐ 1‐year data
Oral Surgery,Multidisciplinary approach for functional and esthetic implant supported reconstruction following mandibular resection‐ a case presentation
Oral Surgery,EAO‐394/PO‐SU‐004 | Soft tissue stability around dental implants with subepithelial connective tissue graft
Oral Surgery,Computer‐assisted surgery in the rehabilitation of the upper jaw with zygomatic implants – a cohort study comparing atrophic and oncologic patients. Preliminary results at 4 years follow‐up
Oral Surgery,X‐ray followed‐up of peri‐implant bone level at dental implants in rehabilitated patients after combined surgical and radiotherapy of oral cancer
Oral Surgery,Changes of the dental status in adult and elderly patients – a retrospective cross sectional study
Oral Surgery,EAO‐202/PO‐BR‐001 | Biocompatibility of sterilizable and recyclable polymers for extrusion‐based printing
