Category,Title
Energy Engineering and Power Technology,Regular Meeting of the Advisory Council of Public Lecture Centers
Energy Engineering and Power Technology,Frequency and tie-line power awareness in eco-AGC of multi-area power system with SSO-based fractional order controller
Energy Engineering and Power Technology,Some comments on the guide to the design of bank protection on inland water bodies
Energy Engineering and Power Technology,Energy supply for water electrolysis systems using wind and solar energy to produce hydrogen: a case study of Iran
Energy Engineering and Power Technology,Recent progress in MoS2 for solar energy conversion applications
Energy Engineering and Power Technology,Effect of hydrotechnical works on the development of algae in Dnepr reservoir
Energy Engineering and Power Technology,Optimal placement of DSTATCOM  DG and their performance analysis in deregulated power system
Energy Engineering and Power Technology,Optimal dimensions of reinforced concrete slabs for upstream slope protection of earthfill dams
Energy Engineering and Power Technology,Experience in the use of surfactants for preventing corrosion of hydromechanical equipment at the Ust'-Kamenogorsk hydroelectric power station
Energy Engineering and Power Technology,A solution to unit commitment problem using invasive weed optimization algorithm
Energy Engineering and Power Technology,Installation of molten-metal seals in steam-turbine valves
Energy Engineering and Power Technology,Preparation of a general long-term scheme for multiple use and conservation of water resources
Energy Engineering and Power Technology,Quantifying and mapping spatial variability of Shanghai household carbon footprints
Energy Engineering and Power Technology,Stresses and forces in linings of two noncircular parallel tunnels
Energy Engineering and Power Technology,Mathematical modeling of wave propagation
Energy Engineering and Power Technology,60th birthday of Viktor Alekseevich Orlov
Energy Engineering and Power Technology,Characteristics of above-water sluicing of sand into riprap
Energy Engineering and Power Technology,An air curtain for Protecting Hydraulic Structures from seismic and blast effects
Energy Engineering and Power Technology,Condition of joints in massive concrete structures determined by ultrasonics
Energy Engineering and Power Technology,Artificial bee colony algorithm for solving economic dispatch problems with non-convex cost functions
Energy Engineering and Power Technology,Optimal generation scheduling in power system using frequency prediction through ANN under ABT environment
Energy Engineering and Power Technology,Experience with Using Heat-Resistant Chromium-Aluminum Steel for the Gas-Intake Shafts of Tract L in the Kharanor State Regional Power Plant
Energy Engineering and Power Technology,Effect of some engineering and geomechanical factors on the stability of closely spaced tunnels
Energy Engineering and Power Technology,Day-ahead AC-DC OPF-based nodal price prediction by artificial neural network (ANN) in a restructured electricity market
Energy Engineering and Power Technology,Boris Dmitrievich Kachanovskii
Energy Engineering and Power Technology,Equipping dredges with submersible pumps
Energy Engineering and Power Technology,Investigation of the stressed state of the lower part of the penstock of the Krasnoyarsk Hydroelectric Station
Energy Engineering and Power Technology,Determination of the parameters of ship waves at banks
Energy Engineering and Power Technology,A Model of Snowpack Formation and Snowmelt Model for the Volga-Kama Cascade Watershed
Energy Engineering and Power Technology,Scientific-methodological AID to public lecture centers of the ministry of power and electrification of the USSR
Energy Engineering and Power Technology,Recommendations of the conference “Problems of design  scientific-research  and construction organizations in increasing the efficiency and quality of hydraulic construction”
Energy Engineering and Power Technology,Progress in developing an innovative lean burn catalytic turbine technology for fugitive methane mitigation and utilization
Energy Engineering and Power Technology,Water network of Russia
Energy Engineering and Power Technology,Shear characteristics of horizontal expansion joints in the Toktogul hydroelectric station dam
Energy Engineering and Power Technology,Structural dynamic analysis of the orbiting scroll wrap in the scroll compressor
Energy Engineering and Power Technology,The automation-69 international exhibition
Energy Engineering and Power Technology,High-strength reinforcing wire in prestressed reinforced-concrete elements
Energy Engineering and Power Technology,Experimental study on performance of passive and active solar stills in Indian coastal climatic condition
Energy Engineering and Power Technology,Reliability of concrete in the main structures of the Boguchany hydroelectric station
Energy Engineering and Power Technology,The Ust'-Izhma hydroelectric plant on the Pechora River
Energy Engineering and Power Technology,Load frequency control in deregulated power system with wind integrated system using fuzzy controller
Energy Engineering and Power Technology,Optimal design of battery charge management controller for hybrid system PV/wind cell with storage battery
Energy Engineering and Power Technology,Disturbances of the downstream revetment of the votkinsk hydroelectric station that occurred during operation
Energy Engineering and Power Technology,60th birthday of Vera Mikhailovna Sinyavskaya
Energy Engineering and Power Technology,Reactive Power Control by Turbine Generators of Thermal Power Plants
Energy Engineering and Power Technology,Methods of calculating sedimentation and sediment-concentration parameters of a flow in settling basins
Energy Engineering and Power Technology,Optimization model analysis of centralized groundwater source heat pump system in heating season
Energy Engineering and Power Technology,Brochure on M. M. Vasil’ev  hero of socialist labor
Energy Engineering and Power Technology,Protection of hydraulic structures from destruction by waves
Energy Engineering and Power Technology,A school of modern hydropower construction under severe climatic conditions
Energy Engineering and Power Technology,Modernization of the guide bearings of turbines of the cascade of Chirchik hydroelectric stations
Energy Engineering and Power Technology,Improving the Method of Test Equations for the Validation of Electricity Measurements1
Energy Engineering and Power Technology,Estimation of composite load model with aggregate induction motor dynamic load for an isolated hybrid power system
Energy Engineering and Power Technology,Assessment of a fuzzy logic based MRAS observer used in a photovoltaic array supplied AC drive
Energy Engineering and Power Technology,Studying the Dependence of the Life of Convection Superheaters of the Number of Damaged Coils
Energy Engineering and Power Technology,Examination of technical solutions adopted for the repair and reconstruction of equipment at hydroelectric and pumped-storage power plants
Energy Engineering and Power Technology,System of Control of the Current Electric State in a Power System Based on the Steady-State and Transient Stability Conditions
Energy Engineering and Power Technology,Fastening the removable sector of the runner chamber of an adjustable-blade turbine
Energy Engineering and Power Technology,Literature on hydraulic engineering  hydropower engineering  and allied areas published in 1971
Energy Engineering and Power Technology,Rheologic aspects of soil mechanics
Energy Engineering and Power Technology,Accounting for the Thermal State of the Sayano-Shushenskaya Dam to Determine the Safe Maximum Water Levels in the Reservoir in Developing Its Dispatch Schedules
Energy Engineering and Power Technology,Surface modification by ligand growth strategy for dense copper bismuth film as photocathode to enhance hydrogen production activity
Energy Engineering and Power Technology,Construction of an earth dam with a grout core and polyethylene film diaphragm without draining the foundation pit
Energy Engineering and Power Technology,Six-phase DFIG-MPPT synergy: pioneering approaches for maximising energy yield in wind energy generation system
Energy Engineering and Power Technology,Transmission Line Capacity Improvement Using Thyristor Controlled Series Compensation Device Considering Voltage Stability Analysis
