Category,Title
Geotechnical Engineering and Engineering Geology,Practical equivalent continuum characterization of jointed rock masses
Geotechnical Engineering and Engineering Geology,A slope failure caused by drainage cutoff through the advancement of seasonal frost  Hudson Bay Lowland
Geotechnical Engineering and Engineering Geology,The February 2010 large landslide at Maierato  Vibo Valentia  Southern Italy
Geotechnical Engineering and Engineering Geology,Stabilisation of estuarine sediments with an alkali-activated cement for deep soil mixing applications
Geotechnical Engineering and Engineering Geology,A large-scale colluvial landslide caused by multiple factors: mechanism analysis and phased stabilization
Geotechnical Engineering and Engineering Geology,Laboratory experiments of water pressure loads acting on a downstream dam caused by ice avalanches
Geotechnical Engineering and Engineering Geology,The effect of T-stress on the fracture of brittle rock under compression
Geotechnical Engineering and Engineering Geology,Anisotropic strength  deformation and failure of gneiss granite under high stress and temperature coupled true triaxial compression
Geotechnical Engineering and Engineering Geology,Coupled HTM modelling of cold water injection in fractured hydrocarbon reservoirs
Geotechnical Engineering and Engineering Geology,Monitoring the stability of hydro-caverns with rock mechanics instrumentation - a case study
Geotechnical Engineering and Engineering Geology,A smooth hyperbolic failure criterion for cohesive-frictional materials
Geotechnical Engineering and Engineering Geology,Finite element analysis of coupled chemo-poro-thermo-mechanical effects around a wellbore in swelling shale
Geotechnical Engineering and Engineering Geology,The extremely long-runout Komansu rock avalanche in the Trans Alai range  Pamir Mountains  southern Kyrgyzstan
Geotechnical Engineering and Engineering Geology,Investigation and modeling of direct toppling using a three-dimensional distinct element approach with incorporation of point cloud geometry
Geotechnical Engineering and Engineering Geology,Rainfall threshold for landslide activity in Dazhou  southwest China
Geotechnical Engineering and Engineering Geology,Gateway stability analysis by global-local modeling approach
Geotechnical Engineering and Engineering Geology,On the estimation of elastoplastic properties of rocks by indentation tests
Geotechnical Engineering and Engineering Geology,Evolution process of sediment supply for debris flow occurrence in the Longchi area of Dujiangyan City after the Wenchuan earthquake
Geotechnical Engineering and Engineering Geology,Reservoir-induced landslides and risk control in Three Gorges Project on Yangtze River  China
Geotechnical Engineering and Engineering Geology,Catastrophic debris flows triggered by a 14 August 2010 rainfall at the epicenter of the Wenchuan earthquake
Geotechnical Engineering and Engineering Geology,A multiaxial stress criterion for short- and long-term strength of isotropic rock media
Geotechnical Engineering and Engineering Geology,Characterizing block geometry in jointed rockmasses
Geotechnical Engineering and Engineering Geology,Seismic signal recognition and interpretation of the 2019 “7.23” Shuicheng landslide by seismogram stations
Geotechnical Engineering and Engineering Geology,Landslide consequence analysis: a region-scale indicator-based methodology
Geotechnical Engineering and Engineering Geology,Effect of adding natural pozzolana on geotechnical properties of lime-stabilized clayey soil
Geotechnical Engineering and Engineering Geology,Three-dimensional failure mechanism of a rectangular cavity in a Hoek–Brown rock medium
Geotechnical Engineering and Engineering Geology,Effects of anisotropies on fluid flow in deformable fractured media
Geotechnical Engineering and Engineering Geology,Examination of effective stress in clay rock
Geotechnical Engineering and Engineering Geology,Stability analysis of backfilling in subsiding area and optimization of the stoping sequence
Geotechnical Engineering and Engineering Geology,Numerical analysis of sand/solids production in boreholes considering fluid-mechanical coupling in a Cosserat continuum
Geotechnical Engineering and Engineering Geology,Shallow landslide generation at La Fossa cone  Vulcano island (Italy): a multidisciplinary perspective
Geotechnical Engineering and Engineering Geology,The influence of the pull-apart origin of the Vienna Basin on the high density of landslides in the adjacent Flysch sediments
Geotechnical Engineering and Engineering Geology,Utilisation of transparent synthetic soil surrogates in geotechnical physical models: A review
Geotechnical Engineering and Engineering Geology,Physics-informed neural networks applied to catastrophic creeping landslides
Geotechnical Engineering and Engineering Geology,Application of precedent type analysis (PTA) in the construction of Ertan hydro-electric station  China
Geotechnical Engineering and Engineering Geology,Corrigendum to “Back-analysing rock mass modulus from monitoring data of two tunnels in Sydney  Australia” [J Rock Mech Geotech Eng 5 (2017) 877–891]
Geotechnical Engineering and Engineering Geology,DEM investigation of weathered rocks using a novel bond contact model
Geotechnical Engineering and Engineering Geology,Application of large-scale ring shear tests to the analysis of tsunamigenic landslides at the Stromboli volcano  Italy
Geotechnical Engineering and Engineering Geology,Impact of joints and discontinuities on the blast-response of responding tunnels studied under physical modeling at 1-g
Geotechnical Engineering and Engineering Geology,Development of ICL landslide teaching tools
Geotechnical Engineering and Engineering Geology,The scale dependence of rock joint surface roughness
Geotechnical Engineering and Engineering Geology,Physical model test and numerical analysis on the behavior of stratified rock masses during underground excavation
Geotechnical Engineering and Engineering Geology,True triaxial strength  deformability  and brittle failure of granodiorite from the San Andreas Fault Observatory at Depth
Geotechnical Engineering and Engineering Geology,Effects of bed permeability and roughness on the mobility of submarine debris flows: experimental insights
Geotechnical Engineering and Engineering Geology,Roof-cutting and energy-absorbing method for dynamic disaster control in deep coal mine
Geotechnical Engineering and Engineering Geology,Permeability and setting time of bio-mediated soil under various medium concentrations
Geotechnical Engineering and Engineering Geology,Influence of thermal damage on linear and nonlinear acoustic properties of granite
Geotechnical Engineering and Engineering Geology,Roof sagging limit in an early warning system for safe coal pillar extraction
Geotechnical Engineering and Engineering Geology,Landslides triggered by the 20 April 2013 Lushan  China  Mw 6.6 earthquake from field investigations and preliminary analyses
Geotechnical Engineering and Engineering Geology,Automatic monitoring of rotary-percussive drilling for ground characterization—illustrated by a case example in Hong Kong
Geotechnical Engineering and Engineering Geology,Dynamic compressive properties of Kalgoorlie basalt rock
Geotechnical Engineering and Engineering Geology,Behavior of diatomaceous soil in lacustrine deposits of Bogotá  Colombia
Geotechnical Engineering and Engineering Geology,Computational modelling of microwave-induced fractures in igneous rocks using phase field method
Geotechnical Engineering and Engineering Geology,Elastic-viscoplastic behaviors of polymer-blend geocell sheets: Numerical and experimental investigations
Geotechnical Engineering and Engineering Geology,Characterizing the influence of stress-induced microcracks on the laboratory strength and fracture development in brittle rocks using a finite-discrete element method-micro discrete fracture network FDEM-μDFN approach
Geotechnical Engineering and Engineering Geology,Effect of drying cracks on swelling and self-healing of bentonite-sand blocks used as engineered barriers for radioactive waste disposal
Geotechnical Engineering and Engineering Geology,Influence of wavelength-to-tunnel-diameter ratio on dynamic response of underground tunnels subjected to blasting loads
Geotechnical Engineering and Engineering Geology,TDR monitoring as a component of subsidence risk assessment over abandoned mines
Geotechnical Engineering and Engineering Geology,Successive landsliding and damming of the Jinsha River in eastern Tibet  China: prime investigation  early warning  and emergency response
Geotechnical Engineering and Engineering Geology,The application of 3-D discontinuity network modeling in geotechnical engineering
Geotechnical Engineering and Engineering Geology,Mechanisms of rainfall-induced landslides in gently inclined red beds in the eastern Sichuan Basin  SW China
Geotechnical Engineering and Engineering Geology,Formation-evolutionary mechanism of large debris flow in semi-arid region  the northeastern Tibetan Plateau
Geotechnical Engineering and Engineering Geology,Evolution of permeability and Biot coefficient at high mean stresses in high porosity sandstone
Geotechnical Engineering and Engineering Geology,Landslides and Tsunamis: Multi-Geohazards
Geotechnical Engineering and Engineering Geology,Evolution of water content and suction of Opalinus Clay from recovery at the drilling site to handling in the laboratory
Geotechnical Engineering and Engineering Geology,Deformation responses of landslides to seasonal rainfall based on InSAR and wavelet analysis
Geotechnical Engineering and Engineering Geology,Comprehensive assessment of the performance of a multismartphone measurement system for landslide model test
Geotechnical Engineering and Engineering Geology,Three-dimensional  time-dependent modeling of rainfall-induced landslides over a digital landscape: a case study
Geotechnical Engineering and Engineering Geology,The 27 February 2014 San Leo landslide (northern Italy)
Geotechnical Engineering and Engineering Geology,Effect of discrete fibre reinforcement on soil tensile strength
Geotechnical Engineering and Engineering Geology,Reducing risk in long deep tunnels by using TBM and drill-and-blast methods in the same project–the hybrid solution
Geotechnical Engineering and Engineering Geology,The use of UAV-based multisource remote sensing in the investigation and monitoring of Jichang landslide in Shuicheng  Guizhou  China
Geotechnical Engineering and Engineering Geology,Numerical simulation of kink zone instability in fractured rock masses
Geotechnical Engineering and Engineering Geology,Dynamic strength of rocks and physical nature of rock strength
Geotechnical Engineering and Engineering Geology,Dynamic notched semi-circle bend (NSCB) method for measuring fracture properties of rocks: Fundamentals and applications
Geotechnical Engineering and Engineering Geology,Key issues in water sealing performance of underground oil storage caverns: Advances and perspectives
Geotechnical Engineering and Engineering Geology,The July 1  2017 Wangjiawan landslide in Ningxiang County  China
Geotechnical Engineering and Engineering Geology,The application of an innovative inverse model for understanding and predicting landslide movements (Salazie cirque landslides  Reunion Island)
Geotechnical Engineering and Engineering Geology,Insights into the recent Kotropi landslide of August 2017  India: a geological investigation and slope stability analysis
Geotechnical Engineering and Engineering Geology,World Landslide Forum 3
Geotechnical Engineering and Engineering Geology,Precursors of instability in a natural slope due to rainfall: a full-scale experiment
Geotechnical Engineering and Engineering Geology,Characterization of the negative Poisson's ratio effect of the thermal-damaged crystalline rock by the grain-based model
Geotechnical Engineering and Engineering Geology,The impact of land degradation on landscape in Northern Greece
Geotechnical Engineering and Engineering Geology,Characterization of cavities in rocks using drilling parameters
Geotechnical Engineering and Engineering Geology,Numerical study of the runout behavior of the Kamenziwan landslide in the Three Gorges Reservoir region  China
Geotechnical Engineering and Engineering Geology,The influence of steam pressure on thermal spalling of sedimentary rock: Theory and experiments
Geotechnical Engineering and Engineering Geology,The DECOVALEX III project: A summary of activities and lessons learned
Geotechnical Engineering and Engineering Geology,Quartzite terrains  geologic controls  and basin denudation by debris flows: their role in long-term landscape evolution in the central Appalachians
Geotechnical Engineering and Engineering Geology,Porosity dependence of the elastic modulus of lithophysae-rich tuff: numerical and experimental investigations
Geotechnical Engineering and Engineering Geology,Landslides in hard soils and weak rocks
Geotechnical Engineering and Engineering Geology,A new research system for caving mechanism analysis and its application to sublevel top-coal caving mining
Geotechnical Engineering and Engineering Geology,A dilatant  two-layer debris flow model validated by flow density measurements at the Swiss illgraben test site
Geotechnical Engineering and Engineering Geology,An experimental and numerical study of a landslide triggered by an extreme rainfall event in northern Australia
Geotechnical Engineering and Engineering Geology,Broadband acoustic emission observations during fracture propagation in rock-like material
Geotechnical Engineering and Engineering Geology,CMS (constant mean stress) VS. UCS (unconfined strength) tests: A tool to reduce core damage effects
Geotechnical Engineering and Engineering Geology,New data on mode II fracture toughness of rock from the punchthrough shear test
Geotechnical Engineering and Engineering Geology,Landslide inventory: ‘Hans’ storm southern Norway  August 7–9  2023
Geotechnical Engineering and Engineering Geology,Effect of crystal morphology on cementability and micromechanical properties of calcium carbonate precipitate induced by crude soybean enzyme
Geotechnical Engineering and Engineering Geology,Insights into some large-scale landslides in southeastern margin of Qinghai-Tibet Plateau
Geotechnical Engineering and Engineering Geology,Monotonic  cyclic and post-cyclic performances of single-helix anchor in residual soil of sandstone
Geotechnical Engineering and Engineering Geology,Implementing landslide path dependency in landslide susceptibility modelling
Geotechnical Engineering and Engineering Geology,Debris-flow susceptibility assessment at regional scale: Validation on an alpine environment
Geotechnical Engineering and Engineering Geology,Effects of thermally-induced cracks on acoustic emission characteristics of granite under tensile conditions
Geotechnical Engineering and Engineering Geology,Gouge formation and dilation impacts to flow during fracture shearing
