Category,Title
Behavioral Neuroscience,Tumor necrosis factor-alpha during neonatal brain development affects anxiety- and depression-related behaviors in adult male and female mice
Behavioral Neuroscience,Prolonged androgen deprivation may influence the autoregulation of estrogen receptors in the brain and pelvic floor muscles of male rats
Behavioral Neuroscience,Social modulation in extinction of aversive memories
Behavioral Neuroscience,The effects of parity and maternal behavior on gene expression in the medial preoptic area and the medial amygdala in postpartum and virgin female rats: A microarray study.
Behavioral Neuroscience,Time perception in stimulant-dependent participants undergoing repetitive transcranial magnetic stimulation
Behavioral Neuroscience,Cross-species correspondence of spatial contrast sensitivity functions
Behavioral Neuroscience,Allocentric spatial and tactile memory impairments in rats with dorsal caudate lesions are affected by preoperative behavioral training.
Behavioral Neuroscience,Postnatal epigenetic influences on seizure susceptibility in seizure-prone versus seizure-resistant rat strains.
Behavioral Neuroscience,The interactions and dissociations of the dorsal hippocampus subregions: How the dentate gyrus  CA3  and CA1 process spatial information.
Behavioral Neuroscience,The suppressive effects of sucrose and cocaine  but not lithium chloride  are greater in Lewis than in Fischer rats: Evidence for the reward comparison hypothesis.
Behavioral Neuroscience,Working memory and visuospatial deficits correlate with oculomotor control in children with fetal alcohol spectrum disorder
Behavioral Neuroscience,Ultrasonic vocalizations by rat pups after adrenergic manipulations of brown fat metabolism.
Behavioral Neuroscience,Limbic  neocortical and midbrain interactions on measures of attention and memory in the hole-board search task
Behavioral Neuroscience,Estradiol or diarylpropionitrile decrease anxiety-like behavior of wildtype  but not estrogen receptor beta knockout  mice.
Behavioral Neuroscience,Nicotine enhances context learning but not context-shock associative learning.
Behavioral Neuroscience,The object pattern separation (OPS) task: A behavioral paradigm derived from the object recognition task
Behavioral Neuroscience,Hippocampal-dependent memory in the plus-maze discriminative avoidance task: The role of spatial cues and CA1 activity
Behavioral Neuroscience,Comparison of anxiety-like behavior in adolescent and adult sprague-dawley rats.
Behavioral Neuroscience,Modulation of stress-induced neurobehavioral changes and brain oxidative injury by nitric oxide (NO) mimetics in rats
Behavioral Neuroscience,Noradrenergic and serotonergic neurochemistry arising from intranasal inoculation with α-synuclein aggregates which incite parkinsonian-like symptoms
Behavioral Neuroscience,The interplay between 5-HT2C and 5-HT3A receptors in the dorsal periaqueductal gray mediates anxiety-like behavior in mice
Behavioral Neuroscience,Spatial learning-related changes in metabolic brain activity contribute to the delimitation of the hippocampal pallium in goldfish
Behavioral Neuroscience,Tolerance to repeated stress in rats with lesions of the serotoninergic neurons of the Median Raphe Nucleus and chronically treated with imipramine
Behavioral Neuroscience,Selective hippocampal lesions impair acquisition of appetitive trace conditioning with long intertrial and long trace intervals.
Behavioral Neuroscience,Neuroanatomical localization of the motor hand area with magnetic resonance imaging: The left hemisphere is larger in great apes.
Behavioral Neuroscience,Chronic morphine treatment exaggerates the suppressive effects of sucrose and cocaine  but not lithium chloride  on saccharin intake in Sprague-Dawley rats.
Behavioral Neuroscience,Combined dieting and stress evoke exaggerated responses to opioids in binge-eating rats.
Behavioral Neuroscience,Prenatal stress and prepuberal social rearing conditions interact to determine sexual behavior in male rats.
Behavioral Neuroscience,Kamin blocking is disrupted by low-dose ketamine in mice: Further implications for aberrant stimulus processing in schizophrenia.
Behavioral Neuroscience,Amygdala-hypothalamic control of feeding behavior in monkey: Single cell responses before and after reversible blockade of temporal cortex or amygdala projections
Behavioral Neuroscience,Spatial judgment in Parkinson’s disease: Contributions of attentional and executive dysfunction.
Behavioral Neuroscience,Unilateral lesion of dorsal hippocampus in adult rats impairs contralateral long-term potentiation in vivo and spatial memory in the early postoperative phase
Behavioral Neuroscience,Differential learning strategies in spatial and nonspatial versions of the Morris water maze in the C57BL/6J inbred mouse strain
Behavioral Neuroscience,Auditory communication processing in bats: What we know and where to go.
Behavioral Neuroscience,Neuropeptides and thirst: The temporal response of corticotropin-releasing hormone and neurotensin/neuromedin N gene expression in rat limbic forebrain neurons to drinking hypertonic saline.
Behavioral Neuroscience,A 3D analysis of hindlimb motion during treadmill locomotion in rats after a 14-day episode of simulated microgravity
Behavioral Neuroscience,Mice lacking hippocampal left-right asymmetry show non-spatial learning deficits
Behavioral Neuroscience,Cold pressor stress impairs performance on working memory tasks requiring executive functions in healthy young men.
Behavioral Neuroscience,Localization of noise  use of binaural cues  and a description of the superior olivary complex in the smallest carnivore  the least weasel (Mustela nivalis).
Behavioral Neuroscience,Effect of visual experience on the habituation of orienting behavior.
