Category,Title
Anthropology,Land and Life
Anthropology,A lingua geral como identidade construida
Anthropology,Intercoder Reliability for Validating Conclusions Drawn from Open-Ended Interview Data
Anthropology,ReXistências musicais entre arte e política
Anthropology,Beyond Symbolic Representation
Anthropology,Assessing Competitiveness of Forest Industry: Theoretical and Empirical Aspects
Anthropology,Ethnographies of the super-rich
Anthropology,Bridges to the future
Anthropology,Pio Lourenço Corrêa: Monografia da palavra Araraquara
Anthropology,Do estudo tipológico em listas de vocábulos indigenas brasileiros
Anthropology,Israel's wall and the logic of encystation
Anthropology,Verbalization of Concept «Мистическое» (“Mysterious”) in the Consciousness of Russian-Speaking People
Anthropology,Participation in Extracurricular Activities and Development of Personal and Interpersonal Skills in Adolescents
Anthropology,The Production Potential of the Agroindustrial Complex of the Siberian Federal District – the Basis for the Development of the Food Market of the Region
Anthropology,“Alguém a fim?”: uma etnografia on-line em salas de bate-papo na fronteira Brasil-Bolívia
Anthropology,Historical anthropology from a 'freezing January' in 1990 to the present
Anthropology,Brincar  fazer parentes e outras saídas: A Cosmopolítica dos Animais / A cosmopolítica dos animais  de FAUSTO  Juliana
Anthropology,Interview with Tanya Luhrmann
Anthropology,Re-estructuración capitalista: precariedad laboral y resistencia. La protesta de los mineros del cobre en Chile
Anthropology,A crise moderna da antropologia
Anthropology,Naturalismos y acumulación por desposesión: paradojas del desarrollo sustentable
Anthropology,Tools for Assessing Sustainable Development of Territories Taking into Account Cluster Effects
Anthropology,Kardecismo e Umbanda
Anthropology,The Polder Museum of Ogata-mura: Community  Authenticity  and Sincerity in a Japanese Village
Anthropology,Street corner secrets: Sex  work  and migration in the city of Mumbai
Anthropology,As práticas no extrativismo vegetal no rio Negro: políticas exíguas  imobilização da força de trabalho de povos indígenas e seu enfrentamento
Anthropology,Movimentos eclesiais católicos e modernidade: uma igreja em transformação
Anthropology,A Statistical Method for Comparing Aggregate Data Across A Priori Groups
Anthropology,PAIS  José Machado; ALMEIDA  Maria Isabel Mendes de (Org.). Criatividade  juventude e novos horizontes profissionais. Rio de Janeiro: Zahar  2012. 293 p.
Anthropology,L'Homme: Revue Française d'Anthropologie: Musique et Anthropologie
Anthropology,Intellectuals and their problems
Anthropology,Companheiras indispensáveis: abelhas em crise  imaginário distópico e antropologia no Antropoceno
Anthropology,Ambulerende omsorg. Eller  spekulasjon i møte med byers oppløsning og framtidens slutt i Maputo
Anthropology,Elaboration of Balance-Optimization in Economic and Mathematical Model of Development of a Large Municipal Unit: Real Experience
Anthropology,Impressões da Rússia
Anthropology,Introdução: Pensar com Pierre Clastres ou da atualidade do contra-Estado
Anthropology,Palavras carnais: sobre re-lembrar e re-esquecer  ser e não ser  entre os Filhos do Erepecuru
Anthropology,Peculiarities of the Legislative Regulation in Establishing and Functioning of National DNA Database Systems (Case Study of Great Britain  the USA  China and Russia)
Anthropology,Subjective Well-Being and Conflicting Social Identities in the Frontier Regions of Russia
Anthropology,Problemas e tensões entre as noções de produção  propriedade intelectual e cultura
Anthropology,Homenagem ao Professor Dr. Egon Schaden
Anthropology,Notas sobre os Sonhos Yanomami
Anthropology,Åpen forskning og antropologiens status som FAIR
Anthropology,Psychophysiological Characteristics of Primary Schoolchildren from the Far North During Their Adaptation to the South of the Kranoyarsk Region
Anthropology,New Media: Technological Design of Forms and Boundaries of Cultural Experience
Anthropology,From breadwinner to bedridden
Anthropology,Strategic Regulatory Instruments in Environmental Law of Russia
Anthropology,Theoretical Aspects of the Concept of Forming a Future Engineer’s Professional and Applied Physical Culture in a Technical University
Anthropology,Mulheres-Onça: mitologia  gênero e antropofagia no Complexo do Marico
Anthropology,The Impact of the Winter Universiade-2019 on a Russian University Sport Development
Anthropology,Economic Nature of the Phenomenon “Reebie” in Russian Student Community
Anthropology,"""Os charruas vivem"" nos Gaúchos: a vida social de uma pesquisa de ""resgate"" genético de uma etnia indígena extinta no Sul do Brasil"
Anthropology,Kritisk realistisk antropologi - eksemplifisering av et ikke-konflatorisk perspektiv
Anthropology,Resources and Exchange in the Northern Part of the Republic of Sakha (Yakutia)
Anthropology,Uten «de andre»  ingen ting som helst
Anthropology,Bibliografia específica sobre literatura negra no Brasil
Anthropology,Do ponto de vista do “crime”: notas de um trabalho de campo com “ladrões”
Anthropology,Nigerian Foreign Policy: a Fourth Republic Diplomatic Escapade
Anthropology,A Decade in Digital Humanities
Anthropology,Long COVID  the unending pandemic
