Category,Title
Equine,History  Instrumentation  and Techniques of Flexible Endoscopic Laser Surgery in Horses
Equine,Articular cell physiology
Equine,Equine veterinarians’ educational needs in equine nutrition
Equine,A combination of GnRH-hCG in aged mares improves embryo recovery
Equine,Application of Clinical Exercise Testing for Identification of Respiratory Fitness and Disease in the Equine Athlete
Equine,Pliance Mobile–16HE: A study about pressure measurements under the saddle after the adjustment of the saddle fit
Equine,Pilot study comparing hematologic and serum biochemical parameters in healthy horses (Equus caballus) and mules
Equine,Antimicrobial Properties of Equine Stromal Cells and Platelets and Future Directions
Equine,Diseases of clinical relevance in endurance horses
Equine,Equine ambulatory rescue and field hospital after Hurricane Andrew
Equine,Oxidative stress during exercise in racehorses: relationships between nutrition  training and biochemical defences against free radicals
Equine,Evaluation of genetic diversity using 31 microsatellites in Miyako          horses
Equine,Use of haptoglobin  magnesium  adiponectin  and leptin as screening markers for insulin dysregulation in obese horses
Equine,Thermoregulation in the horse exercising under hot and hunid conditions
Equine,Instrumentation and Techniques in Transendoscopic Upper Respiratory Tract Laser Surgery
Equine,Integration analysis of metabolome and transcriptome reveals the effect of arachidonic acid on hemorrhagic anovulatory follicles in jennies
Equine,An Evidence-Based Approach to Selected Joint Therapies in Horses
Equine,Haemodynamic induced acute renal failure in equine colic - a light and electronmicroscopical investigation in healthy and diseased kidneys
Equine,Measuring back flexibility
Equine,Environmental sustainability in the equine veterinary profession
Equine,Osteomyelitis in Horses
Equine,Peptide motifs for Major Histocompatibility Complex class I molecules of the horse
Equine,Change of Ferritin-binding Activity in the Serum of Foal after Birth
Equine,Stress in the Racing Horse: Coping vs Not Coping.
Equine,Nutrition and Dietary Management of Equine Gastric Ulcer Syndrome
Equine,Non-invasive EEG-leading in the awake standing horse
Equine,Reference range of blood biomarkers for oxidative stress in Thoroughbred racehorses (2–5 years old)
Equine,Pesticide Toxicosis in the Horse
Equine,Airway obstruction in the horse
Equine,Effects of feeding alfalfa hay in comparison to meadow hay on the gastric mucosa in adult Warmblood horses
Equine,Effect of Changing Diet on Gastric Ulceration in Exercising Horses and Ponies After Cessation of Omeprazole Treatment
Equine,Timing of feeding a protein supplement on plasma amino acids during exercise recovery
Equine,Serological evidence of equine influenza virus in horse stables in Kaduna  Nigeria
Equine,Magnetic resonance imaging of the thorax and abdomen in foals
Equine,Antimicrobial therapy for gastrointestinal diseases
Equine,Urinary Incontinence and Urinary Tract Infections
Equine,Antimicrobial-Resistant Enterococcus faecium and Enterococcus faecalis Isolated From Healthy Thoroughbred Racehorses in Japan
Equine,Equine molecular genetics
Equine,Complications of Ophthalmic Surgery in the Horse
Equine,Diseases of the kidneys and ureters in horses from the surgical sight of view
Equine,Advanced multicentric lymphoma in a Belgian Draft Horse mare
Equine,Equine nonneoplastic abnormal ovary in a draft mare with high serum          anti-Müllerian hormone: a case study
Equine,Wedge and Eggbar Shoes Change the Pressure Distribution Under the Hoof of the Forelimb in the Square Standing Horse
Equine,Traditional horse training of the kasakhs
Equine,Histological quantification of the vascularization of the superficial digital flexor tendons in limb preparations from Warmblood horses
Equine,Diagnostic Imaging of the Lower Respiratory Tract in Neonatal Foals
Equine,Physiotherapy Assessment for the Equine Athlete
Equine,Cardiac Therapeutics in Horses
Equine,Equine Vision and Optics
Equine,Cone beam-computertomography of the cervical spine in the standing horse – Part 1: findings and clinic
Equine,Influence of camped under associated with upright pastern in front conformation in the forelimb movement of horses
Equine,Assessment of the viability and quality of equine endometrial explants as a potential ex vivo model for fibrosis research
Equine,Chronic Obstructive Pulmonary Disease
Equine,Farriery for the Hoof with Low or Underrun Heels
Equine,Antibiotics in the Treatment of Wounds
Equine,Unequal glandular differentiation of the equine endometrium – a separate endometrial alteration?
Equine,Anaplasmosis in the horse – a review of the literature focusing on the diagnosis  therapy  and prevention
Equine,Lawsonia intracellularis in foals – a serological analysis
Equine,Use of Frozen/Thawed Maturation Medium for In Vitro Maturation of Equine Oocytes
Equine,Commercial Cell-based Therapies for Musculoskeletal Injuries in Horses
Equine,Ultrasonic Imaging of Equine Ovarian Follicles and Corpora Lutea
Equine,Chronic Hyperproteinemia Associated with a Probable Abdominal Abscess in an Appaloosa Stallion
Equine,Disease of the tarsal sheath in 13 horses
Equine,Effects of body weight reduction on insulin-sensitivity in obese ponies
Equine,130 Investigation of age  status  season  and sex on equine parasitic load in a university program
Equine,Development of Equine Locomotion from Foal to Adult
Equine,Different Periodicities of Some Haematological Parameters in Exercise-Loaded Athletic Horses and Sedentary Horses.
Equine,Ringbone vs. Pyramidal disease
Equine,Rhodococcus-equi specific hyperimmune plasma decreased rhodococcal pneumonia severity in newborn foals after experimental infection
Equine,Inflammatory stromal keratopathies: medical management of stromal keratomalacia  stromal abscesses  eosinophilic keratitis  and band keratopathy in the horse
Equine,Veterinary management package
Equine,Physeal Fractures in Foals
Equine,Position of different snaffle bits inside the equine oral cavity
Equine,Mammary Gland Secretion pH and Impending Parturition in Ponies and Mares with and without Firocoxib
Equine,Multiple kongenitale okuläre Anomalien beim Rocky Mountain Horse und beim Kentucky Mountain Saddle Horse in Europa
Equine,Seminoma of a stallion
Equine,Outbreak of Equine Infectious Anaemia in Saxony – Case report  epidemiology and possible new eradication strategies
Equine,Effects of Watering/Steaming of Large Square Hay Bales on Particulate Matter Generation
Equine,Relationship between the presence of intrauterine fluid and cervical bacteria in heavy draft mares before and after mating
Equine,The importance of biosecurity
Equine,Insulin resistance and compensation in laminitis-prediposed ponies characterizised by the Minimal Model
Equine,Training distance to failure in young racing quarter horses fed sodium zeolite A
Equine,Desmopathy of the front proximal suspensory ligament in conjunction with a metacarpal cortical fracture in a horse: A multi-modality imaging study
Equine,Analysis of cartilage wear particles in equine joints and their relationship to several joint diseases
Equine,Characterization of isolates of &lt;i&gt;Bordetella bronchiseptica&lt;/i&gt; from horses
Equine,Estimation of the Body Weight of Icelandic Horses
Equine,Klebsiella pneumoniae causing colitis and terminal sepsis in a horse
Equine,Apparent digestibility of mixed diets in horses determined by acid-insoluble ash and acid detergent lignin as internal markers
Equine,Infectious Crusting Dermatoses
Equine,Insulin and glucose regulation
Equine,Clinical  Hematological  and Biochemical Analysis of Experimental Endotoxemia in Thoroughbred Horses
Equine,Comparison of Six Different Methods for Measuring the Equine Hoof and Recording of its Three-Dimensional Conformation
Equine,Postpartum Hemoperitoneum and Septic Peritonitis in a Thoroughbred Mare
Equine,Ventilatory Support of the Critically Ill Foal
Equine,Stimulation of electromagnetic osteogenesis in healthy growing yearlings
Equine,Future Diagnostic Methods: A Brief Look at New Technologies and Their Potential Application to Equine Diagnosis
Equine,Preliminary studies on the use of plasma β-endorphin in horses as an indicator of stress and pain
Equine,Dermatophytosis in horses treated with terbinafine
Equine,Automating the Tendon Measurement Process
Equine,Therapeutics of Musculoskeletal Disease in the Horse
